,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
172,Ty-N_peak_73,chr2L,9272348,9272348,+,139.11023,,promoter-TSS (NM_001169446),promoter-TSS (NM_001169446),-154,NM_001169446,45234,Dm.1453,NM_080068,,Ggamma30A,CG18511|CG3694|CG43733|Dmel\CG3694|Dmel_CG43733|G-gamma30A|GNG gene like|G[[gamma30A]]|G[[gamma]]|Galpha30A|Ggamma|Ggamma[[e]]|Ggammae|lincRNA.S701,G protein subunit gamma at 30A,protein-coding,CG18511,FBgn0267252
173,Ty-N_peak_896,chr3R,25627073,25627073,+,139.11023,,promoter-TSS (NM_001014667),promoter-TSS (NM_001014667),-149,NM_001014666,43092,Dm.1335,NM_143151,,Ssadh,CG4685|DmSSADH|Dmel\CG4685|SSADH|anon-WO0118547.428|ssadh,Succinic semialdehyde dehydrogenase,protein-coding,CG4685,FBgn0039349
176,Ty-N_peak_435,chr3L,291949,291949,+,137.14766,,promoter-TSS (NM_138182),promoter-TSS (NM_138182),-743,NM_138182,38050,Dm.7922,NM_138180,,RhoGEF3,CG1225|CG13881|CG13882|CG13883|CG42377|CG42378|CG43976|Dmel\CG43976|Dmel_CG1225|Dmel_CG13881|Dmel_CG13882|Dmel_CG13883|Dmel_CG42377|Dmel_CG42378|DrhoGEF3|RhoGEF|rhoGEF3,Rho guanine nucleotide exchange factor 3,protein-coding,CG1225,FBgn0264707
178,Ty-N_peak_65,chr2L,8327122,8327122,+,136.86772,,promoter-TSS (NM_135367),promoter-TSS (NM_135367),-334,NM_135367,34144,Dm.5818,NM_135367,,CG14275,BcDNA:RE73208|CT33900|Dmel\CG14275,uncharacterized protein,protein-coding,CG14275,FBgn0032022
179,Ty-N_peak_495,chr3L,6218722,6218722,+,135.9106,,promoter-TSS (NM_057269),promoter-TSS (NM_057269),-700,NM_057269,38723,Dm.865,NM_057269,,LanA,5]]|CG10236|CT28769|Dmel\CG10236|FBgn0002526|FBtr0077014|LM-A/alpha1|Lam|Lam-A|LamA|Lan|alpha3/5|alpha[[3|hdln|lamA|laminin alpha3/5|lanA,Laminin A,protein-coding,CG10236,FBgn0002526
180,Ty-N_peak_17,chr2L,1705118,1705118,+,135.74992,,promoter-TSS (NM_001272948),promoter-TSS (NM_001272948),-13,NM_001272948,33346,Dm.4772,NM_057657,,cpb,CAPB_DROME|CG17158|CP|CP-beta|CPB|Cap2|CapZ|CapZbeta|Cpb|Dmel\CG17158|J|bnd|cpbeta,capping protein beta,protein-coding,CG17158,FBgn0011570
182,Ty-N_peak_1105,chrX,6351923,6351923,+,135.74992,,promoter-TSS (NM_132091),promoter-TSS (NM_132091),-359,NM_132091,31579,Dm.8,NM_132091,,kdn,BEST:GM01832|CG 3861|CG3861|CS|Csyn|Dmel\CG3861|l (1) G0030|l(1)G0030|l(1)G0033|l(1)G0159,knockdown,protein-coding,CG3861,FBgn0261955
187,Ty-N_peak_31,chr2L,3662574,3662574,+,133.52136,,promoter-TSS (NM_001103605),promoter-TSS (NM_001103605),-171,NM_001298663,5740176,Dm.12203,NM_001103605,,Drgx,CG10017|CG2808|CG34340|Dmel\CG34340|Dmel_CG10017|Dmel_CG2808,Dorsal root ganglia homeobox,protein-coding,CG10017,FBgn0085369
188,Ty-N_peak_362,chr2R,19178585,19178585,+,132.67441,,promoter-TSS (NM_166335),promoter-TSS (NM_166335),-153,NM_001299677,37203,,NM_137555,,hppy,CG7097|CG7097/hppy|Dmel\CG7097|EP-704|GLK/KHS1|Hppy|MAP4K3|anon-WO0153538.68|l(2)SH1261|l(2)SH2 1261,happyhour,protein-coding,CG7097,FBgn0263395
191,Ty-N_peak_213,chr2L,20835763,20835763,+,131.30128,,promoter-TSS (NM_136220),promoter-TSS (NM_136220),77,NM_136220,35349,,NM_136220,,Oseg5,CG9333|CHE-2|Che-2|Dmel\CG9333|IFT80|OSEG|OSEG5|oseg5,Outer segment 5,protein-coding,CG9333,FBgn0032891
193,Ty-N_peak_826,chr3R,15803777,15803777,+,130.94046,,promoter-TSS (NM_142237),promoter-TSS (NM_142237),-282,NR_133405,26067219,,NR_133405,,CR45891,Dmel\CR45891,ncRNA,ncRNA,CR45891,FBgn0267551
194,Ty-N_peak_930,chr3R,29491222,29491222,+,130.19513,,promoter-TSS (NM_176583),promoter-TSS (NM_176583),-72,NM_176583,50096,Dm.23053,NM_176583,,Spase12,CG11500|CG31042|Dmel\CG11500|spase12,Spase 12-subunit,protein-coding,CG11500,FBgn0040623
198,Ty-N_peak_314,chr2R,13942339,13942339,+,128.21657,,promoter-TSS (NM_001169677),promoter-TSS (NM_001169677),-229,NM_001144187,36542,Dm.7941,NM_079009,,shot,42/4|CG18076|CG18637|Dmel\CG18076|Grv|Shot|Su(Mir)1|grv|kak|kop|l(2)CA4|l(2)k03010|l(2)k04204|l(2)k05434|l(2)k05821|l(2)k10821|l(2)k15606|shortstop/kakapo,short stop,protein-coding,CG18076,FBgn0013733
199,Ty-N_peak_798,chr3R,12222127,12222127,+,128.15109,,promoter-TSS (NM_141907),promoter-TSS (NM_141907),-260,NM_141907,41481,Dm.20177,NM_141907,,CG10014,Dmel\CG10014,uncharacterized protein,protein-coding,CG10014,FBgn0038000
201,Ty-N_peak_527,chr3L,8523541,8523541,+,127.2458,,promoter-TSS (NM_168277),promoter-TSS (NM_168277),-40,NM_139979,38974,Dm.3631,NM_139979,,GstO2,CG6673|CG6673-A|CG6673-B|CG6673A|CG6673B|DmGSTO1|DmGSTO2a|DmGSTO2b|Dmel\CG6673|GSTO2|GSTO2a|GSTO2b|anon-EST:Posey29|gsto2,Glutathione S transferase O2,protein-coding,CG6673,FBgn0035906
202,Ty-N_peak_1052,chrX,946129,946129,+,126.88971,,promoter-TSS (NM_130518),promoter-TSS (NM_130518),-356,NM_130518,31045,Dm.49,NM_130518,,CG3703,BACR7A4.15|Dmel\CG3703|EG:BACR7A4.15,CG3703,protein-coding,CG3703,FBgn0040348
203,Ty-N_peak_1186,chrX,16089323,16089323,+,126.88971,,promoter-TSS (NM_206760),promoter-TSS (NM_206760),44,NM_206760,32574,Dm.11284,NM_132876,,Tob,CG9214|Dmel\CG9214,Tob,protein-coding,CG9214,FBgn0028397
204,Ty-N_peak_946,chr3R,31168621,31168621,+,126.88971,,promoter-TSS (NM_170537),promoter-TSS (NM_170537),-17,NM_170537,43683,Dm.4648,NM_170537,,stops,CG15557|CG15558|CG15559|CG31006|Dmel\CG31006|su(rdgB)69,slow termination of phototransduction,protein-coding,CG15557,FBgn0086704
207,Ty-N_peak_728,chr3R,5150812,5150812,+,125.79258,,promoter-TSS (NM_001300240),promoter-TSS (NM_001300240),-96,NM_001300240,40619,,NM_001043212,,dpr16,CG12591|CT34444|Dmel\CG12591|Dpr-16|Dpr16|mdcds_51595,defective proboscis extension response 16,protein-coding,CG12591,FBgn0037295
208,Ty-N_peak_448,chr3L,699201,699201,+,125.79258,,promoter-TSS (NM_138210),promoter-TSS (NM_138210),-57,NM_138210,38086,Dm.13584,NM_138210,,CG13894,Dmel\CG13894|dmCG13894,uncharacterized protein,protein-coding,CG13894,FBgn0035157
209,Ty-N_peak_715,chr3R,4251548,4251548,+,125.04759,,promoter-TSS (NM_141187),promoter-TSS (NM_141187),-207,NM_001300226,40535,Dm.5458,NM_141187,,TwdlG,CG14643|Dmel\CG14643,TweedleG,protein-coding,CG14643,FBgn0037225
212,Ty-N_peak_130,chr2L,14410403,14410403,+,124.32916,,promoter-TSS (NM_205990),promoter-TSS (NM_205990),648,NR_124253,19835345,,NR_124253,,CR44733,Dmel\CR44733,ncRNA,ncRNA,CR44733,FBgn0265946
218,Ty-N_peak_1161,chrX,12017881,12017881,+,121.4292,,promoter-TSS (NM_132549),promoter-TSS (NM_132549),80,NM_132548,32166,Dm.20583,NM_132548,,Chrac-16,15736|20K protein|BcDNA:RE59557|CG15736|CHRAC|CHRAC-16|CHRAC16|Chrac16|Dmel\CG15736|joey,Chromatin accessibility complex 16kD protein,protein-coding,CG15736,FBgn0043001
219,Ty-N_peak_1091,chrX,3945045,3945045,+,120.93548,,promoter-TSS (NM_166998).2,promoter-TSS (NM_166998).2,2,NM_166998,318207,,NM_166998,,CG32783,Dmel\CG32783,uncharacterized protein,protein-coding,CG32783,FBgn0052783
222,Ty-N_peak_404,chr2R,23366881,23366881,+,119.26237,,promoter-TSS (NM_137942),promoter-TSS (NM_137942),15,NM_137942,37701,,NM_137942,,Ice1,CG13550|Dmel\CG13550|ICE1|dICE1,Interacts with the C terminus of ELL 1,protein-coding,CG13550,FBgn0034853
226,Ty-N_peak_1154,chrX,11578926,11578926,+,118.18288,,promoter-TSS (NR_123872),promoter-TSS (NR_123872),-139,NR_002105,3772415,,NR_002104,,roX2,CR32665|Dmel\CR32665|RoX2|roX|rox2,RNA on the X 2,ncRNA,CR32665,FBgn0019660
227,Ty-N_peak_288,chr2R,11144285,11144285,+,118.039,,promoter-TSS (NM_136793),promoter-TSS (NM_136793),-614,NM_136793,36168,Dm.33758,NM_136793,,CG13229,Dm CG13229|Dmel\CG13229|anon-WO0170980.142|anon-WO0170980.143,uncharacterized protein,protein-coding,CG13229,FBgn0033579
228,Ty-N_peak_721,chr3R,4599902,4599902,+,117.93198,,promoter-TSS (NR_125066),promoter-TSS (NR_125066),-153,NR_125066,19835543,,NR_125065,,CR44317,Dmel\CR44317|lincRNA.671,ncRNA,ncRNA,CR44317,FBgn0265376
231,Ty-N_peak_79,chr2L,9616749,9616749,+,117.10548,,promoter-TSS (NM_001169451),promoter-TSS (NM_001169451),-87,NM_001169451,34282,Dm.370,NM_135459,,GlcAT-S,CG3881|DGlcAT-S|DmGlcAT-BSI|Dmel\CG3881|dGlcAT-BSI|dGlcAT-S,GlcAT-S,protein-coding,CG3881,FBgn0032135
232,Ty-N_peak_539,chr3L,9628292,9628292,+,116.42313,,promoter-TSS (NM_168354),promoter-TSS (NM_168354),-384,NM_140081,39121,Dm.4317,NM_140081,,CG8336,Dmel\CG8336,CG8336,protein-coding,CG8336,FBgn0036020
233,Ty-N_peak_340,chr2R,16179215,16179215,+,116.10992,,promoter-TSS (NM_176190),promoter-TSS (NM_176190),-118,NM_176190,36791,Dm.646,NM_057812,,Lis-1,CG8440|D-Lis1|DLIS-1|DLIS1|DLis-1|DLis1|Dlis-1|Dlis1|DmLIS1|Dmel\CG8440|LIS-1|Lis 1|Lis1|dLis1|l(2)k13209|l(2R)W8|lis-1|lis1|n(2)k11702,Lissencephaly-1,protein-coding,CG8440,FBgn0015754
234,Ty-N_peak_544,chr3L,9974552,9974552,+,116.03071,,promoter-TSS (NM_144182),promoter-TSS (NM_144182),-99,NM_001274745,50296,Dm.2139,NM_144182,,dpr6,BcDNA:LD13525|CG14162|Dmel\CG14162|Dpr-6|Dpr6,defective proboscis extension response 6,protein-coding,CG14162,FBgn0040823
235,Ty-N_peak_854,chr3R,19568661,19568661,+,115.88783,,promoter-TSS (NM_001043262),promoter-TSS (NM_001043262),-549,NM_001275802,42327,Dm.16710,NM_001043256,,Dys,CG17750|CG31175|CG34157|CG7240|CG7243|CG7344|DLP|DLP1|DLP186|DLP2|DLP3|DmDLP|DmDYS|Dmel\CG34157|Dp117|Dp186|Dp205|GI3046716|IDLP|det|dmDLP|dmDp186|dmDys|dys,Dystrophin,protein-coding,CG17750,FBgn0260003
236,Ty-N_peak_311,chr2R,13132767,13132767,+,115.52943,,promoter-TSS (NM_001169664),promoter-TSS (NM_001169664),-312,NM_136994,36439,Dm.5524,NM_136994,,CG13326,Dmel\CG13326,uncharacterized protein,protein-coding,CG13326,FBgn0033794
241,Ty-N_peak_329,chr2R,15164675,15164675,+,113.88971,,promoter-TSS (NM_057713),promoter-TSS (NM_057713),-245,NM_057713,36681,Dm.3247,NM_057712,,igl,CG18285|Dmel\CG18285|Igl,igloo,protein-coding,CG18285,FBgn0013467
245,Ty-N_peak_765,chr3R,8820714,8820714,+,110.69689,,promoter-TSS (NM_176425),promoter-TSS (NM_176425),-32,NM_001275461,41058,Dm.3732,NM_176424,,CG9821,CG31442|Dmel\CG9821|Ov29|anon-WO0118547.399|anon-WO0118547.424,CG9821,protein-coding,CG9821,FBgn0286516
247,Ty-N_peak_848,chr3R,18849979,18849979,+,110.69689,,promoter-TSS (NM_142497),promoter-TSS (NM_142497),-755,NM_001275786,42258,,NM_142497,,CG18208,Dmel\CG18208,uncharacterized protein,protein-coding,CG18208,FBgn0038653
248,Ty-N_peak_690,chr3L,21840652,21840652,+,110.69689,,promoter-TSS (NM_141111),promoter-TSS (NM_141111),-525,NM_001202230,40434,Dm.11155,NM_141111,,P5CDh1,CG7145|DmP5CDh1|Dmel\CG7145|P5CDh,delta-1-Pyrroline-5-carboxylate dehydrogenase 1,protein-coding,CG7145,FBgn0037138
249,Ty-N_peak_879,chr3R,24047073,24047073,+,110.69689,,promoter-TSS (NM_170118),promoter-TSS (NM_170118),-61,NM_170118,42848,Dm.6352,NM_170116,,Rox8,CG5422|DmTIAR|Dmel\CG5422|ROX8|RRM12|Rbp12|Rox-8|TIAR|dTIAR|rox8|rrm12,Rox8,protein-coding,CG5422,FBgn0005649
250,Ty-N_peak_468,chr3L,3303308,3303308,+,110.18736,,promoter-TSS (NM_168017),promoter-TSS (NM_168017),-196,NM_139543,38406,Dm.6486,NM_139543,,CG14968,Dmel\CG14968|anon-WO0107627.1|anon-WO0107627.2|anon-WO0107627.3,uncharacterized protein,protein-coding,CG14968,FBgn0035431
251,Ty-N_peak_191,chr2L,19399229,19399229,+,109.91057,,promoter-TSS (NM_001169544),promoter-TSS (NM_001169544),-736,NM_165291,35213,Dm.472,NM_136117,,CG17544,Dmel\CG17544,uncharacterized protein,protein-coding,CG17544,FBgn0032775
252,Ty-N_peak_161,chr2L,16544285,16544285,+,109.69223,,promoter-TSS (NM_001144357),promoter-TSS (NM_001144357),-731,NM_001144357,34987,Dm.11210,NM_135957,,CG42389,CG13260|CG13261|CG31738|CG4668|CT15043|CT15049|Dmel\CG42389|Dmel_CG13260|Dmel_CG31738|anon-EST:Liang-1.16|clone 1.16,uncharacterized protein,protein-coding,CG42389,FBgn0259735
253,Ty-N_peak_337,chr2R,15939594,15939594,+,109.63758,,promoter-TSS (NM_166122),promoter-TSS (NM_166122),-144,NM_001259424,36750,Dm.12915,NM_079029,,Mlf,BcDNA:SD18148|CG8295|Dmel\CG8295|MLF|dMLF|dmlf|mlf,Myelodysplasia/myeloid leukemia factor,protein-coding,CG8295,FBgn0034051
254,Ty-N_peak_1167,chrX,12654633,12654633,+,109.63758,,promoter-TSS (NM_167331),promoter-TSS (NM_167331),-67,NM_167331,32221,Dm.2166,NM_078585,,CkIalpha,CG2028|CK I|CK1|CK1a|CK1alpha|CKI|CKI alpha|CKIa|CKIalpha|Ck1alpha|CkI alpha|CkIa|Dmel\CG2028|PKA-C|anon-WO03040301.93|anon-WO03040301.95|ck1a|ck1alpha|dmCK1|dmckI|l(1)G0492,Casein kinase Ialpha,protein-coding,CG2028,FBgn0015024
256,Ty-N_peak_397,chr2R,22330039,22330039,+,109.63758,,promoter-TSS (NM_001103942),promoter-TSS (NM_001103942),-161,NM_001103942,5740599,,NM_001103941,,pgc,CG11296|CG32885|CR32885|Dmel\CG32885|Pgc|Pgc1|pgc-1|pgr,polar granule component,protein-coding,CG11296,FBgn0016053
257,Ty-N_peak_416,chr2R,24928428,24928428,+,109.42694,,promoter-TSS (NM_001274247),promoter-TSS (NM_001274247),-153,NM_138135,37985,Dm.14984,NM_138135,,pain,CG15860|CT31987|Dmel\CG15860|EP2251|Pain,painless,protein-coding,CG15860,FBgn0060296
259,Ty-N_peak_398,chr2R,22374873,22374873,+,108.58102,,promoter-TSS (NM_137821),promoter-TSS (NM_137821),93,NR_124692,19835228,,NR_124692,,CR44759,Dmel\CR44759|lincRNA.374,ncRNA,ncRNA,CR44759,FBgn0265980
264,Ty-N_peak_491,chr3L,5932631,5932631,+,107.527,,promoter-TSS (NM_168152),promoter-TSS (NM_168152),-19,NM_168151,38669,Dm.8023,NM_079219,,Rcc1,BJ1|Bj1|CG10480|CG18640 (Bj1)|Dmel\CG10480|RCC1|RanGEF|dRCC1|inxs|sdt,Regulator of chromosome condensation 1,protein-coding,CG10480,FBgn0002638
268,Ty-N_peak_1095,chrX,5085264,5085264,+,105.85873,,promoter-TSS (NM_001042796),promoter-TSS (NM_001042796),-495,NM_001297949,44531,,NM_167028,,rg,AKAP|Akap550|CG15464|CG15465/CG6775|CG15466|CG44835|CG6775|DAKAP550|Dmel\CG44835|Dmel_CG15464|Dmel_CG6775|fas,rugose,protein-coding,CG15464,FBgn0266098
269,Ty-N_peak_270,chr2R,8862839,8862839,+,105.42715,,promoter-TSS (NM_001259282),promoter-TSS (NM_001259282),66,NM_001259282,49090,Dm.22868,NM_057643,,RyR,CG10844|D-RyR|DRR|DRY|Dmel\CG10844|RYR|RyRs|Rya-44F|Rya-R44F|Rya-r44F|Rya-r76CD|Ryr|dRyR|dRyr|dry|dya|l(2)k00424|l(2)k04913|rya-r44F|ryr,Ryanodine receptor,protein-coding,CG10844,FBgn0011286
271,Ty-N_peak_727,chr3R,5127862,5127862,+,104.04229,,promoter-TSS (NM_141255),promoter-TSS (NM_141255),-225,NM_141255,40617,Dm.4147,NM_141255,,CG12007,Dmel\CG12007|PTAR3|RabGGTalpha,uncharacterized protein,protein-coding,CG12007,FBgn0037293
272,Ty-N_peak_84,chr2L,9782248,9782248,+,103.85224,,promoter-TSS (NM_135469),promoter-TSS (NM_135469),-136,NM_135469,34300,Dm.19808,NM_135469,,IP3K1,CG4026|D-IP3K1|Dmel\CG4026|IP3KI|IP[[3]]K-1|UY530|anon-WO0118547.189|dmIP3Kalpha|dmIP[[3]]Kalpha,"Inositol 1,4,5-triphosphate kinase 1",protein-coding,CG4026,FBgn0032147
273,Ty-N_peak_91,chr2L,10003119,10003119,+,103.51609,,promoter-TSS (NM_135492),promoter-TSS (NM_135492),-383,NM_001201837,318996,Dm.5569,NM_164884,,CG31875,BcDNA:AT29184|CG5831|Desr|Dmel\CG31875,uncharacterized protein,protein-coding,CG31875,FBgn0051875
274,Ty-N_peak_1066,chrX,2270905,2270905,+,103.33759,,promoter-TSS (NM_166935),promoter-TSS (NM_166935),-144,NM_001297890,31214,Dm.36,NM_130638,,CG2924,Dmel\CG2924|EG:25E8.2|NICE5,CG2924,protein-coding,CG2924,FBgn0023528
276,Ty-N_peak_1048,chrX,759484,759484,+,103.33759,,promoter-TSS (NM_166863),promoter-TSS (NM_166863),-110,NM_166862,31021,Dm.11009,NM_130501,,CG5273,Dmel\CG5273|EG:BACR19J1.3,CG5273,protein-coding,CG5273,FBgn0040382
278,Ty-N_peak_1063,chrX,1927684,1927684,+,102.29696,,promoter-TSS (NM_001272226),promoter-TSS (NM_001272226),1,NM_130607,31158,Dm.7245,NM_130607,,CG11596,Dmel\CG11596|EG:39E1.1,uncharacterized protein,protein-coding,CG11596,FBgn0023522
279,Ty-N_peak_939,chr3R,30527632,30527632,+,102.29696,,promoter-TSS (NM_170502),promoter-TSS (NM_170502),-595,NM_143550,43630,Dm.3274,NM_143550,,jdp,CG2239|Dmel\CG2239|JDP|dJDP|p25a,jdp,protein-coding,CG2239,FBgn0027654
280,Ty-N_peak_1051,chrX,884857,884857,+,102.29696,,promoter-TSS (NM_001103390),promoter-TSS (NM_001103390),-393,NM_001103390,31031,Dm.26421,NM_058041,,CG43867,CG12467|CG14632|CG14633|CG42248|Dmel\CG43867|Dmel_CG12467|Dmel_CG14632|Dmel_CG14633|Dmel_CG42248|EG:34F3.1|EG:34F3.2,uncharacterized protein,protein-coding,CG43867,FBgn0264449
286,Ty-N_peak_206,chr2L,20352688,20352688,+,101.25885,,promoter-TSS (NR_003763),promoter-TSS (NR_003763),-794,NR_003763,5740352,Dm.36248,NR_003763,,snoRNA:Me28S-A3365,CR34669|Dmel\CR34669|Me28S-Am3365,ncRNA,ncRNA,CR34669,FBgn0086040
289,Ty-N_peak_1158,chrX,11872773,11872773,+,100.22368,,promoter-TSS (NM_001272538),promoter-TSS (NM_001272538),6,NM_132531,32145,Dm.31084,NM_132531,,CG11802,Dmel\CG11802,uncharacterized protein,protein-coding,CG11802,FBgn0030346
292,Ty-N_peak_1166,chrX,12583430,12583430,+,100.22368,,promoter-TSS (NM_001144720),promoter-TSS (NM_001144720),-237,NM_132581,32205,Dm.21409,NM_132581,,CG11138,BEST:RE18684|BcDNA:RE48052|CG1855|Dmel\CG11138|EP(X)1313|RE18684,uncharacterized protein,protein-coding,CG11138,FBgn0030400
293,Ty-N_peak_1218,chrX,21624199,21624199,+,100.22368,,promoter-TSS (NM_206806).3,promoter-TSS (NM_206806).3,-449,NM_167770,2768879,Dm.20361,NM_167770,,CG32500,BcDNA:GM32035|CG18856|Dmel\CG32500,uncharacterized protein,protein-coding,CG32500,FBgn0285970
294,Ty-N_peak_303,chr2R,12528976,12528976,+,99.47445,,promoter-TSS (NM_165913),promoter-TSS (NM_165913),-77,NM_001299424,36377,,NM_078992,,fra,CG8581|CT24981|DCC|Dmel\CG8581|Fra,frazzled,protein-coding,CG8581,FBgn0011592
295,Ty-N_peak_803,chr3R,12627442,12627442,+,99.19163,,promoter-TSS (NM_169476),promoter-TSS (NM_169476),259,NM_169475,41550,Dm.7889,NM_057560,,Vha55,1208/13|ATP6V1B1|CG17369|Dmel\CG17369|SzA|V-ATPase|VAT-2|l(3)87Ca|l(3)SzA|l(3)j2E9|vha55,Vacuolar H[+]-ATPase 55kD subunit,protein-coding,CG17369,FBgn0005671
296,Ty-N_peak_96,chr2L,10506844,10506844,+,99.19163,,promoter-TSS (NM_001273424),promoter-TSS (NM_001273424),-65,NM_001201855,34445,Dm.5426,NM_078814,,Myo31DF,CG7438|Dm IA|DmIA|Dmel\CG7438|DroMIA|IA|MYOIA|Mhc1|Myo-IA|Myo1A|Myo1D|MyoIA|MyoID|myo31DF|myoID|souther,Myosin 31DF,protein-coding,CG7438,FBgn0086347
297,Ty-N_peak_1127,chrX,8606559,8606559,+,98.9648,,promoter-TSS (NM_132267),promoter-TSS (NM_132267),-255,NM_132267,31801,Dm.7399,NM_132267,,Caf1-180,CAF-1 p180|CAF1-180|CAF1-p180|CAF1p180|CG12109|Caf-180|Dmel\CG12109|NURF|caf1-180|dCAF-1-180|dCAF-1-p180|p180,"Chromatin assembly factor 1, p180 subunit",protein-coding,CG12109,FBgn0030054
298,Ty-N_peak_58,chr2L,7459011,7459011,+,98.16273,,promoter-TSS (NM_205920),promoter-TSS (NM_205920),-257,NM_205920,117496,Dm.26373,NM_139357,,Gr28b,28A3|CG13788|Dmel\CG13788|GR28B|GR28b|GRLU.2|Gr28A3|Gr28A4|Gr28b.a|Gr28b.b|Gr28b.c|Gr28b.d|Gr28b.e|Gr28bA|Gr28bB|Gr28bC|Gr28bD|Gr28bE|Gr28be|GrLU2|LU.2|gr28b,Gustatory receptor 28b,protein-coding,CG13788,FBgn0045495
299,Ty-N_peak_46,chr2L,5802155,5802155,+,98.16273,,promoter-TSS (NM_001273178),promoter-TSS (NM_001273178),-65,NM_135116,33809,Dm.315,NM_135116,,CG7239,Dmel\CG7239|anon-EST:Posey250,CG7239,protein-coding,CG7239,FBgn0031740
300,Ty-N_peak_890,chr3R,25277828,25277828,+,96.96875,,promoter-TSS (NM_143113),promoter-TSS (NM_143113),-616,NM_143113,43051,Dm.4595,NM_143113,,CG10513,CT29500|Dmel\CG10513,uncharacterized protein,protein-coding,CG10513,FBgn0039311
301,Ty-N_peak_460,chr3L,1756325,1756325,+,96.41396,,promoter-TSS (NM_057950),promoter-TSS (NM_057950),19,NM_001274354,38224,Dm.11883,NM_139400,,CG8001,Dmel\CG8001,CG8001,protein-coding,CG8001,FBgn0035268
302,Ty-N_peak_891,chr3R,25302320,25302320,+,95.96399,,promoter-TSS (NM_170216),promoter-TSS (NM_170216),-144,NM_170216,43060,Dm.27408,NM_170216,,CG31370,CG13660|Dmel\CG31370,uncharacterized protein,protein-coding,CG31370,FBgn0051370
303,Ty-N_peak_757,chr3R,7810399,7810399,+,95.90197,,promoter-TSS (NM_169195),promoter-TSS (NM_169195),-133,NM_169194,40925,Dm.20783,NM_169194,,sgll,CG2649|CG31472|Dmel\CG31472|dPNPO,sugarlethal,protein-coding,CG2649,FBgn0051473
307,Ty-N_peak_655,chr3L,19097888,19097888,+,94.38349,,promoter-TSS (NM_140834),promoter-TSS (NM_140834),-111,NM_140834,40086,Dm.27175,NM_140834,,CG14079,Dmel\CG14079,uncharacterized protein,protein-coding,CG14079,FBgn0036849
308,Ty-N_peak_205,chr2L,20310834,20310834,+,94.37345,,promoter-TSS (NM_001169549),promoter-TSS (NM_001169549),-385,NM_001299171,45931,Dm.3356,NM_080115,,spir,38C.34|38C.37|CG10076|CG18621|Dmel\CG10076|NP2788|Spir|Spire|l(2)08327|p150-Spir|p150Spir,spire,protein-coding,CG10076,FBgn0003475
311,Ty-N_peak_1118,chrX,8143849,8143849,+,93.37048,,promoter-TSS (NM_132219),promoter-TSS (NM_132219),-14,NM_001298078,31739,Dm.26225,NM_132219,,CG17982,Dmel\CG17982,uncharacterized protein,protein-coding,CG17982,FBgn0030006
313,Ty-N_peak_761,chr3R,8219929,8219929,+,93.05862,,promoter-TSS (NM_001170078),promoter-TSS (NM_001170078),-217,NM_001170078,40964,,NM_141514,,CG18249,CT41336|Dmel\CG18249,uncharacterized protein,protein-coding,CG18249,FBgn0037553
315,Ty-N_peak_730,chr3R,5355145,5355145,+,93.05862,,promoter-TSS (NM_001014606),promoter-TSS (NM_001014606),53,NM_001014606,40638,Dm.4886,NM_141271,,CG1161,Dmel\CG1161,CG1161,protein-coding,CG1161,FBgn0037313
319,Ty-N_peak_372,chr2R,20552279,20552279,+,92.04626,,promoter-TSS (NM_001032271),promoter-TSS (NM_001032271),-189,NM_001032271,3772580,Dm.2273,NM_001032270,,CG13430,CG33008|Dmel\CG13430|SP70,uncharacterized protein,protein-coding,CG13430,FBgn0034518
323,Ty-N_peak_953,chr3R,31812910,31812910,+,91.03653,,promoter-TSS (NM_001170314),promoter-TSS (NM_001170314),-165,NM_001170314,43758,Dm.12850,NM_143645,,RhoGAP100F,1976|CG1976|DSyd-1|DSyd1|Dmel\CG1976|RHOGAP100F|Syd-1|dsyd-1|syd-1,Rho GTPase activating protein at 100F,protein-coding,CG1976,FBgn0039883
325,Ty-N_peak_498,chr3L,6703812,6703812,+,90.21666,,promoter-TSS (NM_168178),promoter-TSS (NM_168178),-291,NM_168177,38744,Dm.3293,NM_139796,,SP1173,CG10121|Dmel\CG10121,SP1173,protein-coding,CG10121,FBgn0035710
326,Ty-N_peak_373,chr2R,20668175,20668175,+,90.02981,,promoter-TSS (NM_137664),promoter-TSS (NM_137664),-869,NM_137664,37344,Dm.13937,NM_137664,,Fem-1,CG9025|Dmel\CG9025|dFEM-1,Fem-1,protein-coding,CG9025,FBgn0034542
327,Ty-N_peak_1202,chrX,17768090,17768090,+,90.02981,,promoter-TSS (NM_133014),promoter-TSS (NM_133014),-479,NM_133014,32757,,NM_133014,,unc-4,CG6269|DPHD-1|Dmel\CG6269|Dunc-4|Unc4,unc-4,protein-coding,CG6269,FBgn0024184
328,Ty-N_peak_531,chr3L,9046940,9046940,+,90.02981,,promoter-TSS (NM_140027),promoter-TSS (NM_140027),-499,NM_140027,39040,Dm.6841,NM_140027,,CG5144,Dmel\CG5144,CG5144,protein-coding,CG5144,FBgn0035957
