Geneid,Chr,Start,End,Strand,Length,TSS,Length,genebody,TSS per kb,gb per kb,Pause index
FBgn0036518,3L,15588610,15589110,+,501,2153,19266,2671,4297.40519,138.638015,30.9973075
FBgn0036663,3L,16807481,16807981,-,501,696,19159,859,1389.22156,44.8353254,30.9849777
FBgn0029935,X,7102050,7102550,-,501,643,2723,113,1283.43313,41.4983474,30.9273312
FBgn0027835,2R,18411777,18412277,+,501,1751,8098,916,3495.00998,113.114349,30.8980249
FBgn0030683,X,15748916,15749416,+,501,1408,1572,143,2810.37924,90.9669211,30.8945187
FBgn0037336,3R,5547525,5548025,-,501,1012,7266,476,2019.96008,65.5105973,30.8340965
FBgn0013733,2R,13941860,13942360,-,501,2218,76874,11065,4427.14571,143.936832,30.7575598
FBgn0086372,3R,7186744,7187244,+,501,797,12948,671,1590.81836,51.8226753,30.6973415
FBgn0034142,2R,16594396,16594896,-,501,1604,4129,432,3201.59681,104.625817,30.6004473
FBgn0032683,2L,18503728,18504228,-,501,158,15232,157,315.369261,10.3072479,30.5968445
FBgn0000097,2L,2178504,2179004,-,501,2845,21271,3950,5678.64271,185.698839,30.5798504
FBgn0004797,2L,16816410,16816910,+,501,1869,9305,1140,3730.53892,122.514777,30.4497059
FBgn0030894,X,18101064,18101564,-,501,1831,2757,331,3654.69062,120.058034,30.4410333
FBgn0031118,X,20510444,20510944,-,501,1546,39740,4040,3085.82834,101.660795,30.354163
FBgn0031515,2L,3294456,3294956,-,501,315,2462,51,628.742515,20.714866,30.3522367
FBgn0032451,2L,12704475,12704975,+,501,775,959,49,1546.90619,51.0948905,30.275164
FBgn0050389,2R,21160295,21160795,-,501,890,11281,662,1776.44711,58.6827409,30.2720541
FBgn0029706,X,4366167,4366667,+,501,428,3720,105,854.291417,28.2258065,30.2663245
FBgn0028504,3L,2599329,2599829,-,501,1716,2738,311,3425.1497,113.58656,30.1545334
FBgn0086361,3R,29591581,29592081,+,501,455,24327,733,908.183633,30.13113,30.1410412
FBgn0032402,2L,12049168,12049668,+,501,916,1632,99,1828.34331,60.6617647,30.1399625
FBgn0264324,3R,28845020,28845520,+,501,1774,24170,2840,3540.91816,117.501034,30.1352085
FBgn0036273,3L,12277405,12277905,+,501,796,2822,149,1588.82236,52.799433,30.0916556
FBgn0022987,2R,17469374,17469874,+,501,639,4506,192,1275.4491,42.6098535,29.9331961
FBgn0013272,2R,22317412,22317912,+,501,2553,10755,1839,5095.80838,170.990237,29.8017505
FBgn0053542,X,18276983,18277483,+,501,523,6364,223,1043.91218,35.0408548,29.7912874
FBgn0038250,3R,14657197,14657697,+,501,839,782,44,1674.6507,56.2659847,29.7631101
FBgn0033777,2R,12869173,12869673,-,501,231,19066,296,461.077844,15.5250184,29.6990209
FBgn0013276,3R,11958285,11958785,+,501,952,1375,88,1900.1996,64,29.6906188
FBgn0031945,2L,7767378,7767878,+,501,146,6406,63,291.417166,9.83453013,29.6320375
FBgn0004638,2R,13502591,13503091,-,501,1199,6620,535,2393.21357,80.81571,29.6132222
FBgn0038376,3R,15857220,15857720,-,501,1337,2603,235,2668.66267,90.2804456,29.5596976
FBgn0039006,3R,22698069,22698569,+,501,134,989,9,267.46507,9.10010111,29.3914393
FBgn0051706,2L,11530802,11531302,-,501,29,1015,2,57.8842315,1.97044335,29.3762475
FBgn0030749,X,16422015,16422515,-,501,2123,4308,622,4237.52495,144.382544,29.3492886
FBgn0014006,3R,19879469,19879969,+,501,619,5312,225,1235.52894,42.3569277,29.1694655
FBgn0016685,3R,30004535,30005035,+,501,1486,4568,465,2966.06786,101.795096,29.1376301
FBgn0012037,2L,13905395,13905895,+,501,85,2568,15,169.660679,5.8411215,29.0459082
FBgn0015575,3R,7523503,7524003,-,501,82,3191,18,163.672655,5.64086493,29.0155245
FBgn0001104,3L,6979794,6980294,-,501,1367,6295,592,2728.54291,94.0428912,29.0138136
FBgn0003267,3R,26880921,26881421,-,501,47,3401,11,93.8123752,3.23434284,29.0050807
FBgn0004875,3L,3818429,3818929,+,501,838,22648,1307,1672.65469,57.70929,28.9841495
FBgn0267408,3R,15537042,15537542,-,501,129,4156,37,257.48503,8.90279115,28.921832
FBgn0035557,3L,4532920,4533420,+,501,726,5101,256,1449.1018,50.186238,28.8744854
FBgn0264693,3L,4134300,4134800,-,501,1313,10644,968,2620.75848,90.9432544,28.8175137
FBgn0259680,X,12431974,12432474,+,501,101,20427,143,201.596806,7.0005385,28.7973284
FBgn0038321,3R,15343006,15343506,-,501,1621,4349,489,3235.52894,112.439641,28.7756961
FBgn0003891,2R,21183072,21183572,+,501,1031,8592,615,2057.88423,71.5782123,28.7501485
FBgn0030913,X,18355941,18356441,-,501,109,32234,244,217.56487,7.56964696,28.741746
FBgn0031918,2L,7466293,7466793,+,501,125,4951,43,249.500998,8.68511412,28.7274289
FBgn0031384,2L,2009609,2010109,+,501,314,19930,435,626.746507,21.8263924,28.7150756
FBgn0036486,3L,15158312,15158812,-,501,1198,3330,278,2391.21756,83.4834835,28.6430018
FBgn0016122,2L,8521683,8522183,+,501,429,2808,84,856.287425,29.9145299,28.6244654
FBgn0285917,2R,18357046,18357546,-,501,2135,78099,11650,4261.47705,149.169644,28.5679911
FBgn0284084,2L,7306909,7307409,+,501,335,8107,190,668.662675,23.4365363,28.5307805
FBgn0011817,3L,7978796,7979296,+,501,2680,74102,13898,5349.3014,187.552293,28.5216529
FBgn0000547,2L,4031127,4031627,+,501,2041,83373,11923,4073.8523,143.007928,28.4868982
FBgn0036741,3L,17621574,17622074,+,501,443,8148,253,884.231537,31.0505646,28.4771485
FBgn0260049,3L,13412593,13413093,+,501,1251,2611,229,2497.00599,87.7058598,28.4702298
FBgn0004373,3L,319634,320134,-,501,1791,13492,1696,3574.8503,125.704121,28.4386086
FBgn0033856,2R,13558295,13558795,+,501,116,1224,10,231.536926,8.16993464,28.3401198
FBgn0002931,2L,87137,87637,-,501,1358,3967,380,2710.57884,95.7902697,28.2970165
FBgn0011236,2R,23870023,23870523,+,501,3265,6170,1423,6516.96607,230.632091,28.2569787
FBgn0004837,2L,15039238,15039738,+,501,696,2847,140,1389.22156,49.1745697,28.2508127
FBgn0005771,2L,14490609,14491109,+,501,3327,2161,508,6640.71856,235.076354,28.2491985
FBgn0035770,3L,7360013,7360513,-,501,1279,1989,180,2552.89421,90.4977376,28.209481
FBgn0259789,X,19783298,19783798,-,501,1411,16084,1615,2816.36727,100.410346,28.0485765
FBgn0041181,2L,7702555,7703055,+,501,102,6886,50,203.592814,7.2611095,28.0388024
FBgn0031566,2L,3713110,3713610,+,501,917,2451,160,1830.33932,65.2794778,28.0385105
FBgn0267002,2R,16772421,16772921,-,501,206,20169,296,411.177645,14.6759879,28.0170335
FBgn0263116,2R,19032392,19032892,-,501,122,9318,81,243.512974,8.69285254,28.013011
FBgn0013277,3R,12467526,12468026,-,501,212,1324,20,423.153693,15.1057402,28.0127745
FBgn0026718,2L,8463744,8464244,-,501,174,13304,165,347.305389,12.402285,28.0033388
FBgn0040475,3L,9713577,9714077,-,501,1486,2406,255,2966.06786,105.985037,27.9857227
FBgn0040305,3L,9430062,9430562,+,501,1839,8179,1073,3670.65868,131.189632,27.9797925
FBgn0085432,4,69076,69576,+,501,965,43945,3026,1926.1477,68.8588008,27.9724259
FBgn0026375,X,17652312,17652812,-,501,864,12416,766,1724.5509,61.6945876,27.9530339
FBgn0028490,2L,11527955,11528455,-,501,2500,4185,748,4990.01996,178.733572,27.9187614
FBgn0085408,2R,14307892,14308392,+,501,1793,42661,5486,3578.84232,128.595204,27.8302938
FBgn0004811,2L,19795601,19796101,-,501,1173,2079,175,2341.31737,84.1750842,27.8148503
FBgn0027556,X,16912930,16913430,+,501,221,24030,382,441.117764,15.8967957,27.7488479
FBgn0029526,X,481576,482076,-,501,1515,963,105,3023.9521,109.034268,27.7339607
FBgn0032586,2L,16491290,16491790,+,501,1057,15082,1150,2109.78044,76.2498342,27.6693118
FBgn0034795,2R,22888678,22889178,+,501,536,4498,174,1069.86028,38.6838595,27.6565031
FBgn0038986,3R,22562322,22562822,-,501,60,3231,14,119.760479,4.33302383,27.6390077
FBgn0029502,X,6770975,6771475,+,501,492,815,29,982.035928,35.5828221,27.5985959
FBgn0039688,3R,29725580,29726080,+,501,251,8531,155,500.998004,18.1690306,27.5742837
FBgn0031001,X,19220372,19220872,+,501,83,14289,86,165.668663,6.01861572,27.5260409
FBgn0037364,3R,5685184,5685684,-,501,881,4381,280,1758.48303,63.9123488,27.5139792
FBgn0039109,3R,23723081,23723581,+,501,896,7169,466,1788.42315,65.0020923,27.5133167
FBgn0015803,2L,20350184,20350684,+,501,641,13821,643,1279.44112,46.5234064,27.5010197
FBgn0263144,2R,6214318,6214818,+,501,2978,25035,5413,5944.11178,216.217296,27.4913797
FBgn0020294,3L,21130909,21131409,-,501,739,54579,2933,1475.0499,53.7386174,27.4486016
FBgn0004227,X,16361319,16361819,+,501,917,8979,599,1830.33932,66.7112151,27.4367559
FBgn0032243,2L,10413767,10414267,+,501,591,3975,171,1179.64072,43.0188679,27.4214728
FBgn0039789,3R,30587052,30587552,-,501,156,2283,26,311.377246,11.3885239,27.3413174
FBgn0034075,2R,16110081,16110581,+,501,181,5666,75,361.277445,13.2368514,27.2933067
FBgn0264712,3R,5393672,5394172,+,501,855,4589,287,1706.58683,62.5408586,27.2875503
FBgn0010303,X,13090184,13090684,-,501,904,10230,677,1804.39122,66.1779081,27.2657639
FBgn0000562,2R,23746579,23747079,-,501,1122,10926,899,2239.52096,82.2807981,27.2180267
FBgn0005631,2R,22700720,22701220,-,501,891,7447,489,1778.44311,65.6640258,27.0839793
FBgn0266449,2L,6070740,6071240,+,501,1238,1972,180,2471.05788,91.2778905,27.0718119
FBgn0037513,3R,7749829,7750329,-,501,313,1167,27,624.750499,23.1362468,27.0031049
FBgn0034644,2R,21645927,21646427,+,501,2702,10759,2150,5393.21357,199.832698,26.9886441
FBgn0037358,3R,5654611,5655111,-,501,2495,1222,226,4980.03992,184.942717,26.9274725
FBgn0037753,3R,9779814,9780314,+,501,325,1991,48,648.702595,24.1084882,26.907643
FBgn0039178,3R,24283705,24284205,+,501,114,3663,31,227.54491,8.46300846,26.8870002
FBgn0053639,X,18225826,18226326,-,501,84,14265,89,167.664671,6.23904662,26.8734441
FBgn0028523,2L,16448219,16448719,-,501,397,47295,1395,792.41517,29.4957184,26.8654304
FBgn0031676,2L,5052593,5053093,+,501,898,733,49,1792.41517,66.8485675,26.8130677
FBgn0039665,3R,29493268,29493768,-,501,2416,995,179,4822.35529,179.899497,26.8058297
FBgn0028550,X,1275034,1275534,-,501,1083,31545,2546,2161.67665,80.7100967,26.7832246
FBgn0003345,X,15804120,15804620,+,501,1524,22313,2536,3041.91617,113.655716,26.7643042
FBgn0038248,3R,14642313,14642813,-,501,226,14888,251,451.097804,16.8592155,26.7567494
FBgn0003886,3R,9733000,9733500,-,501,78,1030,6,155.688623,5.82524272,26.7265469
FBgn0013279,3R,12508826,12509326,+,501,193,1386,20,385.229541,14.4300144,26.6964072
FBgn0035696,3L,6256415,6256915,-,501,1302,9733,948,2598.8024,97.4005959,26.6815862
FBgn0019968,2R,15532009,15532509,-,501,985,15482,1143,1966.06786,73.8276708,26.630501
FBgn0029895,X,6699258,6699758,+,501,1924,18882,2723,3840.31936,144.211418,26.6297871
FBgn0040236,X,9282867,9283367,-,501,908,6800,463,1812.37525,68.0882353,26.6180382
FBgn0023091,2L,21331506,21332006,+,501,207,9400,146,413.173653,15.5319149,26.6015913
FBgn0004795,2R,23632360,23632860,+,501,130,21211,207,259.481038,9.75908727,26.5886584
FBgn0023081,2R,24098386,24098886,-,501,1087,5558,454,2169.66068,81.684059,26.5616169
FBgn0002643,2R,13990953,13991453,+,501,2645,68154,13561,5279.44112,198.975849,26.533075
FBgn0002565,3L,12129143,12129643,+,501,9,1477,1,17.9640719,0.67704807,26.5329341
FBgn0002941,3R,21556932,21557432,-,501,97,7522,55,193.612774,7.31188514,26.4791871
FBgn0038829,3R,20821598,20822098,-,501,671,1720,87,1339.32136,50.5813953,26.4785372
FBgn0261671,2L,16888240,16888740,+,501,745,27563,1549,1487.02595,56.198527,26.46023
FBgn0034184,2R,17048625,17049125,+,501,1028,3981,310,2051.89621,77.8698819,26.3503187
FBgn0000546,2R,6168837,6169337,-,501,2105,80215,12792,4201.59681,159.471421,26.3470206
FBgn0052677,X,10627487,10627987,+,501,259,82211,1616,516.966068,19.6567369,26.299689
FBgn0261793,X,8409022,8409522,+,501,3249,22740,5617,6485.02994,247.009675,26.2541536
FBgn0263446,2R,12872506,12873006,+,501,69,1332,7,137.724551,5.25525526,26.2070145
FBgn0031745,2L,5879248,5879748,-,501,1528,18730,2187,3049.9002,116.764549,26.1200872
FBgn0051674,2L,20831012,20831512,+,501,1464,598,67,2922.15569,112.040134,26.0813299
FBgn0015396,3R,10349932,10350432,+,501,3161,10431,2527,6309.38124,242.258652,26.0439872
FBgn0033052,2R,6036138,6036638,-,501,967,9116,676,1930.13972,74.1553313,26.0283339
FBgn0001250,X,16783184,16783684,-,501,1932,30246,4483,3856.28743,148.217946,26.0176822
FBgn0261565,3L,16865045,16865545,+,501,2377,56193,10261,4744.51098,182.602815,25.9826825
FBgn0036897,3L,19642566,19643066,-,501,618,4610,219,1233.53293,47.505423,25.9661499
FBgn0025612,X,4644618,4645118,-,501,10,2600,2,19.9600798,0.76923077,25.9481038
FBgn0026181,X,16637164,16637664,-,501,700,12403,668,1397.20559,53.8579376,25.9424265
FBgn0261703,X,15297516,15298016,+,501,1339,20309,2094,2672.65469,103.106997,25.9211767
FBgn0035287,3L,1882791,1883291,-,501,1697,5491,719,3387.22555,130.941541,25.8682274
FBgn0262849,X,11593312,11593812,+,501,1149,891,79,2293.41317,88.664422,25.8662169
FBgn0264449,X,927725,928225,-,501,299,118759,2744,596.806387,23.1056173,25.8294933
FBgn0039528,3R,27607146,27607646,-,501,631,8834,431,1259.48104,48.7887707,25.8149779
FBgn0036661,3L,16779850,16780350,+,501,939,1320,96,1874.2515,72.7272727,25.7709581
FBgn0026616,3R,15803998,15804498,+,501,3731,18871,5454,7447.10579,289.014891,25.7672045
FBgn0050344,2R,9145010,9145510,+,501,555,2253,97,1107.78443,43.0537062,25.730292
FBgn0004514,3L,22034753,22035253,+,501,117,29277,266,233.532934,9.08563036,25.7035478
FBgn0030858,X,17656568,17657068,-,501,926,3058,220,1848.30339,71.942446,25.6914172
FBgn0000053,2L,7023648,7024148,-,501,1096,8276,705,2187.62475,85.1860802,25.6805425
FBgn0011206,3L,9134155,9134655,-,501,615,35777,1714,1227.54491,47.9078738,25.6230305
FBgn0038717,3R,19607004,19607504,+,501,12,1069,1,23.9520958,0.9354537,25.6047904
FBgn0037819,3R,10680675,10681175,-,501,41,2189,7,81.8363273,3.19780722,25.5913887
FBgn0035059,2R,24762917,24763417,+,501,774,2584,156,1544.91018,60.371517,25.5900507
FBgn0026199,4,695805,696305,-,501,1639,4370,559,3271.45709,127.91762,25.5747182
FBgn0000140,3R,24753599,24754099,+,501,1017,5665,451,2029.94012,79.6116505,25.4980283
FBgn0010109,2R,8232080,8232580,-,501,113,2360,21,225.548902,8.89830508,25.3474004
FBgn0051809,2L,16858464,16858964,-,501,93,4095,30,185.628743,7.32600733,25.3383234
FBgn0085405,3R,22447849,22448349,+,501,476,11651,437,950.0998,37.5075101,25.3309217
FBgn0261854,2R,14962719,14963219,-,501,671,17512,926,1339.32136,52.8780265,25.328505
FBgn0037900,3R,11431488,11431988,+,501,1306,806,83,2606.78643,102.977667,25.3140947
FBgn0038460,3R,16987482,16987982,-,501,161,3223,41,321.357285,12.7210673,25.2618178
FBgn0027572,2R,17760690,17761190,+,501,1234,2602,254,2463.07385,97.6172175,25.2319613
FBgn0266521,2L,6100127,6100627,+,501,1293,23277,2383,2580.83832,102.375736,25.2094728
FBgn0035253,3L,1664814,1665314,-,501,788,9818,614,1572.85429,62.5381952,25.1502988
FBgn0005677,2L,16485748,16486248,-,501,92,18487,135,183.632735,7.30242873,25.1468027
FBgn0052699,X,9579737,9580237,-,501,882,7451,523,1760.47904,70.1919205,25.0809356
FBgn0032694,2L,18617006,18617506,+,501,2745,43521,9530,5479.04192,218.974748,25.0213414
FBgn0053054,3L,21202632,21203132,-,501,98,4472,35,195.608782,7.82647585,24.9932136
FBgn0036698,3L,17055363,17055863,+,501,189,1921,29,377.245509,15.096304,24.9892629
FBgn0053554,2R,5250772,5251272,-,501,994,72058,5725,1984.03194,79.4498876,24.9721176
FBgn0022709,3L,12203832,12204332,-,501,518,2761,115,1033.93214,41.6515755,24.823362
FBgn0263601,3L,16011562,16012062,-,501,928,4261,318,1852.29541,74.6303685,24.8195935
FBgn0259986,3L,4160682,4161182,-,501,2149,6315,1092,4289.42116,172.921615,24.8055811
FBgn0034083,2R,16149873,16150373,+,501,3136,18397,4643,6259.48104,252.378105,24.8019971
FBgn0264617,4,56247,56747,+,501,1165,5628,528,2325.3493,93.8166311,24.7861096
FBgn0262847,X,11597498,11597998,+,501,1098,891,79,2191.61677,88.664422,24.7181081
FBgn0045073,X,15940201,15940701,-,501,1109,4957,444,2213.57285,89.5703046,24.7132447
FBgn0032330,2L,11066748,11067248,-,501,1488,52793,6363,2970.05988,120.527343,24.6422083
FBgn0039265,3R,25047456,25047956,+,501,1695,750,103,3383.23353,137.333333,24.6351956
FBgn0000064,3R,26261341,26261841,-,501,1191,6523,630,2377.24551,96.5813276,24.6139245
FBgn0003165,3R,9237432,9237932,-,501,951,170340,13173,1898.20359,77.3335682,24.5456616
FBgn0038436,3R,16476860,16477360,+,501,29,2961,7,57.8842315,2.36406619,24.4850299
FBgn0035083,2R,24942163,24942663,-,501,2798,789,180,5584.83034,228.136882,24.480173
FBgn0035793,3L,7510736,7511236,+,501,685,5331,298,1367.26547,55.899456,24.4593699
FBgn0031126,X,20656872,20657372,+,501,697,3304,188,1391.21756,56.9007264,24.4499087
FBgn0000721,2L,3656703,3657203,-,501,2658,33880,7371,5305.38922,217.561983,24.3856447
FBgn0002526,3L,6217772,6218272,-,501,3656,13192,3949,7297.40519,299.34809,24.3776574
FBgn0037897,3R,11421842,11422342,+,501,623,6878,351,1243.51297,51.0322768,24.3671859
FBgn0261285,3R,19147660,19148160,-,501,351,7857,226,700.598802,28.7641593,24.3566584
FBgn0262719,3L,8506896,8507396,-,501,374,33340,1025,746.506986,30.7438512,24.2815053
FBgn0250791,3L,20313382,20313882,+,501,987,1946,158,1970.05988,81.1921891,24.2641552
FBgn0051632,2L,6821684,6822184,+,501,74,16062,98,147.704591,6.10135724,24.208481
FBgn0040395,X,2080360,2080860,+,501,969,12339,986,1934.13174,79.9092309,24.204109
FBgn0024555,3R,13683671,13684171,+,501,1233,8985,914,2461.07784,101.725097,24.1934184
FBgn0029114,3L,15235369,15235869,+,501,3849,6214,1975,7682.63473,317.830705,24.1720973
FBgn0030615,X,15116292,15116792,-,501,54,2241,10,107.784431,4.46229362,24.154491
FBgn0262848,X,11595405,11595905,+,501,1108,891,82,2211.57685,92.0314254,24.0306704
FBgn0086367,X,9223007,9223507,-,501,102,4603,39,203.592814,8.47273517,24.0291724
FBgn0003944,3R,16734176,16734676,-,501,75,76804,479,149.700599,6.23665434,24.0033503
FBgn0023094,3L,19815688,19816188,-,501,483,1169,47,964.071856,40.2053037,23.9787234
FBgn0264561,3L,21507288,21507788,-,501,634,8990,475,1265.46906,52.836485,23.9506671
FBgn0001222,2R,18134384,18134884,-,501,1337,3332,372,2668.66267,111.644658,23.9031829
FBgn0033302,2R,8566952,8567452,-,501,784,2016,132,1564.87026,65.4761905,23.8998367
FBgn0031805,2L,6367632,6368132,+,501,338,1309,37,674.650699,28.2658518,23.8680477
FBgn0024273,3R,28831774,28832274,-,501,523,6519,286,1043.91218,43.8717595,23.7946275
FBgn0030245,X,10877643,10878143,-,501,1464,6300,774,2922.15569,122.857143,23.7849882
FBgn0004864,X,11367848,11368348,-,501,816,6169,423,1628.74251,68.5686497,23.7534576
FBgn0261547,3L,16969763,16970263,+,501,2209,23376,4351,4409.18164,186.131075,23.6885842
FBgn0040256,3R,11128078,11128578,-,501,162,732,10,323.353293,13.6612022,23.6694611
FBgn0026415,X,9930698,9931198,-,501,60,1976,10,119.760479,5.06072874,23.6646707
FBgn0031299,2L,1102254,1102754,-,501,162,18414,252,323.353293,13.6852395,23.6278871
FBgn0003731,2R,21522170,21522670,+,501,3146,36558,9735,6279.44112,266.289184,23.5812849
FBgn0261722,3L,15816160,15816660,-,501,891,5330,402,1778.44311,75.4221388,23.5798552
FBgn0023023,3R,5570858,5571358,+,501,760,7082,457,1516.96607,64.5297938,23.507995
FBgn0031703,2L,5341984,5342484,-,501,112,2103,20,223.552894,9.51022349,23.5065868
FBgn0001098,3R,23942851,23943351,-,501,3143,6144,1643,6273.45309,267.415365,23.4595836
FBgn0010877,3R,18298629,18299129,-,501,2071,9014,1589,4133.73253,176.28134,23.4496319
FBgn0038404,3R,16171741,16172241,+,501,80,7485,51,159.680639,6.81362725,23.435482
FBgn0004179,3L,22267132,22267632,+,501,1173,5364,536,2341.31737,99.9254288,23.4306462
FBgn0010053,2R,18854837,18855337,-,501,1109,654,62,2213.57285,94.8012232,23.3496233
FBgn0033926,2R,14360047,14360547,-,501,3087,1371,362,6161.67665,264.040846,23.3360737
FBgn0037248,3R,4429085,4429585,-,501,1347,5853,675,2688.62275,115.325474,23.3133466
FBgn0037232,3R,4311305,4311805,+,501,427,2844,104,852.295409,36.5682138,23.3070014
FBgn0032949,2L,21573139,21573639,+,501,1263,2715,294,2520.95808,108.287293,23.2802762
FBgn0031762,2L,6012088,6012588,-,501,352,3975,120,702.59481,30.1886792,23.2734531
FBgn0003174,2R,7282322,7282822,+,501,129,17235,191,257.48503,11.0821004,23.2343167
FBgn0040348,X,945523,946023,-,501,1383,2300,274,2760.47904,119.130435,23.1719044
FBgn0028579,2R,6741649,6742149,+,501,1127,3243,315,2249.501,97.1322849,23.1591484
FBgn0031759,2L,5999251,5999751,-,501,1171,9102,919,2337.32535,100.96682,23.14944
FBgn0039155,3R,24141145,24141645,+,501,2340,5096,1029,4670.65868,201.923077,23.1308811
FBgn0267181,X,12615530,12616030,-,501,13,2673,3,25.9481038,1.12233446,23.1197605
FBgn0036316,3L,12842856,12843356,-,501,162,17227,241,323.353293,13.9896674,23.1137228
FBgn0020257,2R,22688737,22689237,-,501,4721,3033,1237,9423.15369,407.847016,23.1046283
FBgn0261552,3R,9417690,9418190,+,501,3139,36561,9951,6265.46906,272.175269,23.0199793
FBgn0262852,X,11587033,11587533,+,501,1163,891,90,2321.35729,101.010101,22.9814371
FBgn0020412,3L,11092943,11093443,-,501,1042,13442,1217,2079.84032,90.5371225,22.9722379
FBgn0039466,3R,26966680,26967180,+,501,304,9949,263,606.786427,26.4348176,22.9540615
FBgn0286778,2R,7782387,7782887,-,501,1033,44619,4009,2061.87625,89.8496156,22.9480809
FBgn0033065,2R,6173434,6173934,+,501,38,1512,5,75.8483034,3.30687831,22.9365269
FBgn0060296,2R,24928025,24928525,-,501,4559,5771,2294,9099.8004,397.504765,22.8923052
FBgn0010786,3L,1334639,1335139,+,501,1763,3527,543,3518.96208,153.955203,22.857052
FBgn0032940,2L,21309800,21310300,-,501,1324,22973,2660,2642.71457,115.788099,22.823715
FBgn0004644,3R,23141656,23142156,-,501,1342,12738,1498,2678.64271,117.600879,22.7774038
FBgn0034095,2R,16229948,16230448,+,501,197,2890,50,393.213573,17.3010381,22.7277445
FBgn0026630,3L,19260429,19260929,-,501,943,2398,199,1882.23553,82.9858215,22.681411
FBgn0031959,2L,7879302,7879802,-,501,83,5058,37,165.668663,7.31514433,22.6473539
FBgn0038488,3R,17149162,17149662,-,501,651,3938,226,1299.4012,57.3895378,22.6417784
FBgn0004606,3R,30765676,30766176,+,501,3916,22277,7722,7816.36727,346.635543,22.5492377
FBgn0262562,3R,17794240,17794740,-,501,159,25219,355,317.365269,14.0766882,22.5454499
FBgn0263106,3L,5751939,5752439,-,501,2605,1161,268,5199.6008,230.835487,22.5251363
FBgn0026059,3R,16098511,16099011,-,501,570,29239,1477,1137.72455,50.5147235,22.5226325
FBgn0058178,3L,26013862,26014362,-,501,510,214672,9712,1017.96407,45.241112,22.5008632
FBgn0034440,2R,19380293,19380793,+,501,79,3423,24,157.684631,7.01139351,22.4897705
FBgn0044452,3L,2774088,2774588,+,501,1133,5340,537,2261.47705,100.561798,22.488431
FBgn0264078,X,14839126,14839626,+,501,616,93571,5125,1229.54092,54.7712432,22.4486582
FBgn0003862,3R,14286653,14287153,-,501,904,22546,1816,1804.39122,80.5464384,22.4018747
FBgn0024150,3L,21171680,21172180,-,501,274,34484,843,546.906188,24.4461199,22.3719015
FBgn0004401,3L,17644786,17645286,-,501,2769,5934,1466,5526.94611,247.050893,22.3716905
FBgn0038149,3R,13401612,13402112,-,501,2441,2337,509,4872.25549,217.800599,22.3702575
FBgn0020633,3L,8891346,8891846,+,501,333,1715,51,664.670659,29.7376093,22.35118
FBgn0034399,2R,18835013,18835513,+,501,1308,580,68,2610.77844,117.241379,22.2684044
FBgn0040571,3R,20055847,20056347,-,501,83,18677,139,165.668663,7.44230872,22.2603857
FBgn0036341,3L,13044184,13044684,+,501,806,1461,106,1608.78244,72.5530459,22.1738787
FBgn0003091,2R,16924405,16924905,+,501,250,19472,440,499.001996,22.5965489,22.0831065
FBgn0043903,X,19683268,19683768,-,501,793,6458,463,1582.83433,71.6940229,22.0776331
FBgn0043362,2L,5906919,5907419,+,501,226,14608,299,451.097804,20.4682366,22.0389188
FBgn0036480,3L,15116487,15116987,+,501,266,10293,248,530.938124,24.0940445,22.036073
FBgn0283521,2R,10543041,10543541,-,501,3236,60398,17710,6459.08184,293.22163,22.0279856
FBgn0264308,2L,13330871,13331371,-,501,67,28308,172,133.732535,6.07602091,22.0098872
FBgn0041629,X,8709402,8709902,+,501,2362,1827,392,4714.57086,214.559387,21.9732678
FBgn0030647,X,15475841,15476341,+,501,116,4632,49,231.536926,10.5785838,21.8873274
FBgn0052704,X,9236335,9236835,-,501,69,2860,18,137.724551,6.29370629,21.8829009
FBgn0037070,3L,21304408,21304908,-,501,345,1874,59,688.622754,31.4834578,21.8725261
FBgn0030286,X,11325135,11325635,+,501,584,7687,410,1165.66866,53.3368024,21.8548659
FBgn0052654,X,12595797,12596297,+,501,896,12864,1053,1788.42315,81.8563433,21.8483148
FBgn0040068,X,19261570,19262070,+,501,951,10461,911,1898.20359,87.0853647,21.7970448
FBgn0261570,X,17709894,17710394,+,501,2192,40864,8227,4375.2495,201.326351,21.7321254
FBgn0083123,2R,14621351,14621851,+,501,1646,1898,289,3285.42914,152.265543,21.5769706
FBgn0032723,2L,18943710,18944210,-,501,304,26614,749,606.786427,28.1430826,21.5607663
FBgn0038638,3R,18669140,18669640,+,501,1727,4290,686,3447.10579,159.90676,21.5569735
FBgn0036004,3L,9476788,9477288,+,501,1068,8493,841,2131.73653,99.0227246,21.5277507
FBgn0031866,2L,6874650,6875150,+,501,261,30757,745,520.958084,24.2221283,21.5075272
FBgn0000037,2R,24390044,24390544,-,501,110,10665,109,219.560878,10.2203469,21.4827226
FBgn0003557,2L,2037464,2037964,+,501,796,5659,419,1588.82236,74.0413501,21.4585816
FBgn0035558,3L,4541801,4542301,+,501,2039,10407,1975,4069.86028,189.776112,21.4455878
FBgn0036155,3L,11364635,11365135,-,501,1361,1900,241,2716.56687,126.842105,21.4169172
FBgn0003415,3L,21027184,21027684,-,501,1069,33621,3351,2133.73253,99.6698492,21.408004
FBgn0033463,2R,9891439,9891939,-,501,681,8118,516,1359.28144,63.5624538,21.3849742
FBgn0263278,2L,6424086,6424586,+,501,1054,1036,102,2103.79242,98.4555985,21.3679308
