,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
114,236,Ty-N_peak_311,chr2R,13132767,13132767,+,115.52943,,promoter-TSS (NM_001169664),promoter-TSS (NM_001169664),-312,NM_136994,36439,Dm.5524,NM_136994,,CG13326,Dmel\CG13326,uncharacterized protein,protein-coding,CG13326,FBgn0033794,2.58815702,1.3719251463503148
115,241,Ty-N_peak_329,chr2R,15164675,15164675,+,113.88971000000001,,promoter-TSS (NM_057713),promoter-TSS (NM_057713),-245,NM_057713,36681,Dm.3247,NM_057712,,igl,CG18285|Dmel\CG18285|Igl,igloo,protein-coding,CG18285,FBgn0013467,2.40564825,1.2664257093970324
116,245,Ty-N_peak_765,chr3R,8820714,8820714,+,110.69689,,promoter-TSS (NM_176425),promoter-TSS (NM_176425),-32,NM_001275461,41058,Dm.3732,NM_176424,,CG9821,CG31442|Dmel\CG9821|Ov29|anon-WO0118547.399|anon-WO0118547.424,CG9821,protein-coding,CG9821,FBgn0286516,9.56813541,3.2582378069642295
117,247,Ty-N_peak_848,chr3R,18849979,18849979,+,110.69689,,promoter-TSS (NM_142497),promoter-TSS (NM_142497),-755,NM_001275786,42258,,NM_142497,,CG18208,Dmel\CG18208,uncharacterized protein,protein-coding,CG18208,FBgn0038653,46.029191600000004,5.524477199953778
118,248,Ty-N_peak_690,chr3L,21840652,21840652,+,110.69689,,promoter-TSS (NM_141111),promoter-TSS (NM_141111),-525,NM_001202230,40434,Dm.11155,NM_141111,,P5CDh1,CG7145|DmP5CDh1|Dmel\CG7145|P5CDh,delta-1-Pyrroline-5-carboxylate dehydrogenase 1,protein-coding,CG7145,FBgn0037138,7.65843503,2.937049613413165
119,249,Ty-N_peak_879,chr3R,24047073,24047073,+,110.69689,,promoter-TSS (NM_170118),promoter-TSS (NM_170118),-61,NM_170118,42848,Dm.6352,NM_170116,,Rox8,CG5422|DmTIAR|Dmel\CG5422|ROX8|RRM12|Rbp12|Rox-8|TIAR|dTIAR|rox8|rrm12,Rox8,protein-coding,CG5422,FBgn0005649,4.3637637,2.1255729811142725
120,250,Ty-N_peak_468,chr3L,3303308,3303308,+,110.18736000000001,,promoter-TSS (NM_168017),promoter-TSS (NM_168017),-196,NM_139543,38406,Dm.6486,NM_139543,,CG14968,Dmel\CG14968|anon-WO0107627.1|anon-WO0107627.2|anon-WO0107627.3,uncharacterized protein,protein-coding,CG14968,FBgn0035431,2.18357225,1.1266902677759318
121,251,Ty-N_peak_191,chr2L,19399229,19399229,+,109.91056999999999,,promoter-TSS (NM_001169544),promoter-TSS (NM_001169544),-736,NM_165291,35213,Dm.472,NM_136117,,CG17544,Dmel\CG17544,uncharacterized protein,protein-coding,CG17544,FBgn0032775,145.431197,7.184192970238922
122,252,Ty-N_peak_161,chr2L,16544285,16544285,+,109.69223000000001,,promoter-TSS (NM_001144357),promoter-TSS (NM_001144357),-731,NM_001144357,34987,Dm.11210,NM_135957,,CG42389,CG13260|CG13261|CG31738|CG4668|CT15043|CT15049|Dmel\CG42389|Dmel_CG13260|Dmel_CG31738|anon-EST:Liang-1.16|clone 1.16,uncharacterized protein,protein-coding,CG42389,FBgn0259735,16.6450488,4.057021195069041
123,253,Ty-N_peak_337,chr2R,15939594,15939594,+,109.63758,,promoter-TSS (NM_166122),promoter-TSS (NM_166122),-144,NM_001259424,36750,Dm.12915,NM_079029,,Mlf,BcDNA:SD18148|CG8295|Dmel\CG8295|MLF|dMLF|dmlf|mlf,Myelodysplasia/myeloid leukemia factor,protein-coding,CG8295,FBgn0034051,7.90174048,2.9821704640876208
124,254,Ty-N_peak_1167,chrX,12654633,12654633,+,109.63758,,promoter-TSS (NM_167331),promoter-TSS (NM_167331),-67,NM_167331,32221,Dm.2166,NM_078585,,CkIalpha,CG2028|CK I|CK1|CK1a|CK1alpha|CKI|CKI alpha|CKIa|CKIalpha|Ck1alpha|CkI alpha|CkIa|Dmel\CG2028|PKA-C|anon-WO03040301.93|anon-WO03040301.95|ck1a|ck1alpha|dmCK1|dmckI|l(1)G0492,Casein kinase Ialpha,protein-coding,CG2028,FBgn0015024,4.04596315,2.0164831801150895
125,256,Ty-N_peak_397,chr2R,22330039,22330039,+,109.63758,,promoter-TSS (NM_001103942),promoter-TSS (NM_001103942),-161,NM_001103942,5740599,,NM_001103941,,pgc,CG11296|CG32885|CR32885|Dmel\CG32885|Pgc|Pgc1|pgc-1|pgr,polar granule component,protein-coding,CG11296,FBgn0016053,13.929572699999998,3.800079097762198
126,257,Ty-N_peak_416,chr2R,24928428,24928428,+,109.42693999999999,,promoter-TSS (NM_001274247),promoter-TSS (NM_001274247),-153,NM_138135,37985,Dm.14984,NM_138135,,pain,CG15860|CT31987|Dmel\CG15860|EP2251|Pain,painless,protein-coding,CG15860,FBgn0060296,22.8923052,4.516790841011963
128,264,Ty-N_peak_491,chr3L,5932631,5932631,+,107.527,,promoter-TSS (NM_168152),promoter-TSS (NM_168152),-19,NM_168151,38669,Dm.8023,NM_079219,,Rcc1,BJ1|Bj1|CG10480|CG18640 (Bj1)|Dmel\CG10480|RCC1|RanGEF|dRCC1|inxs|sdt,Regulator of chromosome condensation 1,protein-coding,CG10480,FBgn0002638,1.42956193,0.515573120261823
130,269,Ty-N_peak_270,chr2R,8862839,8862839,+,105.42715,,promoter-TSS (NM_001259282),promoter-TSS (NM_001259282),66,NM_001259282,49090,Dm.22868,NM_057643,,RyR,CG10844|D-RyR|DRR|DRY|Dmel\CG10844|RYR|RyRs|Rya-44F|Rya-R44F|Rya-r44F|Rya-r76CD|Ryr|dRyR|dRyr|dry|dya|l(2)k00424|l(2)k04913|rya-r44F|ryr,Ryanodine receptor,protein-coding,CG10844,FBgn0011286,42.298573600000005,5.402537108234864
131,271,Ty-N_peak_727,chr3R,5127862,5127862,+,104.04229000000001,,promoter-TSS (NM_141255),promoter-TSS (NM_141255),-225,NM_141255,40617,Dm.4147,NM_141255,,CG12007,Dmel\CG12007|PTAR3|RabGGTalpha,uncharacterized protein,protein-coding,CG12007,FBgn0037293,3.59263125,1.8450408637849733
132,272,Ty-N_peak_84,chr2L,9782248,9782248,+,103.85224000000001,,promoter-TSS (NM_135469),promoter-TSS (NM_135469),-136,NM_135469,34300,Dm.19808,NM_135469,,IP3K1,CG4026|D-IP3K1|Dmel\CG4026|IP3KI|IP[[3]]K-1|UY530|anon-WO0118547.189|dmIP3Kalpha|dmIP[[3]]Kalpha,"Inositol 1,4,5-triphosphate kinase 1",protein-coding,CG4026,FBgn0032147,203.577594,7.669434975137808
134,274,Ty-N_peak_1066,chrX,2270905,2270905,+,103.33759,,promoter-TSS (NM_166935),promoter-TSS (NM_166935),-144,NM_001297890,31214,Dm.36,NM_130638,,CG2924,Dmel\CG2924|EG:25E8.2|NICE5,CG2924,protein-coding,CG2924,FBgn0023528,34.3925963,5.104026124033562
135,276,Ty-N_peak_1048,chrX,759484,759484,+,103.33759,,promoter-TSS (NM_166863),promoter-TSS (NM_166863),-110,NM_166862,31021,Dm.11009,NM_130501,,CG5273,Dmel\CG5273|EG:BACR19J1.3,CG5273,protein-coding,CG5273,FBgn0040382,3.66273681,1.8729220383248042
136,278,Ty-N_peak_1063,chrX,1927684,1927684,+,102.29696,,promoter-TSS (NM_001272226),promoter-TSS (NM_001272226),1,NM_130607,31158,Dm.7245,NM_130607,,CG11596,Dmel\CG11596|EG:39E1.1,uncharacterized protein,protein-coding,CG11596,FBgn0023522,16.020706699999998,4.0018658837137595
137,279,Ty-N_peak_939,chr3R,30527632,30527632,+,102.29696,,promoter-TSS (NM_170502),promoter-TSS (NM_170502),-595,NM_143550,43630,Dm.3274,NM_143550,,jdp,CG2239|Dmel\CG2239|JDP|dJDP|p25a,jdp,protein-coding,CG2239,FBgn0027654,525.77401,9.038299018358988
138,280,Ty-N_peak_1051,chrX,884857,884857,+,102.29696,,promoter-TSS (NM_001103390),promoter-TSS (NM_001103390),-393,NM_001103390,31031,Dm.26421,NM_058041,,CG43867,CG12467|CG14632|CG14633|CG42248|Dmel\CG43867|Dmel_CG12467|Dmel_CG14632|Dmel_CG14633|Dmel_CG42248|EG:34F3.1|EG:34F3.2,uncharacterized protein,protein-coding,CG43867,FBgn0264449,25.829493300000003,4.690947437114187
141,292,Ty-N_peak_1166,chrX,12583430,12583430,+,100.22368,,promoter-TSS (NM_001144720),promoter-TSS (NM_001144720),-237,NM_132581,32205,Dm.21409,NM_132581,,CG11138,BEST:RE18684|BcDNA:RE48052|CG1855|Dmel\CG11138|EP(X)1313|RE18684,uncharacterized protein,protein-coding,CG11138,FBgn0030400,42.656698799999994,5.414700414781649
142,293,Ty-N_peak_1218,chrX,21624199,21624199,+,100.22368,,promoter-TSS (NM_206806).3,promoter-TSS (NM_206806).3,-449,NM_167770,2768879,Dm.20361,NM_167770,,CG32500,BcDNA:GM32035|CG18856|Dmel\CG32500,uncharacterized protein,protein-coding,CG32500,FBgn0285970,12.407342199999999,3.6331222010456554
143,294,Ty-N_peak_303,chr2R,12528976,12528976,+,99.47445,,promoter-TSS (NM_165913),promoter-TSS (NM_165913),-77,NM_001299424,36377,,NM_078992,,fra,CG8581|CT24981|DCC|Dmel\CG8581|Fra,frazzled,protein-coding,CG8581,FBgn0011592,188.268402,7.556647075530524
144,295,Ty-N_peak_803,chr3R,12627442,12627442,+,99.19163,,promoter-TSS (NM_169476),promoter-TSS (NM_169476),259,NM_169475,41550,Dm.7889,NM_057560,,Vha55,1208/13|ATP6V1B1|CG17369|Dmel\CG17369|SzA|V-ATPase|VAT-2|l(3)87Ca|l(3)SzA|l(3)j2E9|vha55,Vacuolar H[+]-ATPase 55kD subunit,protein-coding,CG17369,FBgn0005671,8.49272708,3.0862278886487844
145,296,Ty-N_peak_96,chr2L,10506844,10506844,+,99.19163,,promoter-TSS (NM_001273424),promoter-TSS (NM_001273424),-65,NM_001201855,34445,Dm.5426,NM_078814,,Myo31DF,CG7438|Dm IA|DmIA|Dmel\CG7438|DroMIA|IA|MYOIA|Mhc1|Myo-IA|Myo1A|Myo1D|MyoIA|MyoID|myo31DF|myoID|souther,Myosin 31DF,protein-coding,CG7438,FBgn0086347,165.230122,7.368332908606029
146,297,Ty-N_peak_1127,chrX,8606559,8606559,+,98.9648,,promoter-TSS (NM_132267),promoter-TSS (NM_132267),-255,NM_132267,31801,Dm.7399,NM_132267,,Caf1-180,CAF-1 p180|CAF1-180|CAF1-p180|CAF1p180|CG12109|Caf-180|Dmel\CG12109|NURF|caf1-180|dCAF-1-180|dCAF-1-p180|p180,"Chromatin assembly factor 1, p180 subunit",protein-coding,CG12109,FBgn0030054,5.93655243,2.5696253491922323
147,298,Ty-N_peak_58,chr2L,7459011,7459011,+,98.16273000000001,,promoter-TSS (NM_205920),promoter-TSS (NM_205920),-257,NM_205920,117496,Dm.26373,NM_139357,,Gr28b,28A3|CG13788|Dmel\CG13788|GR28B|GR28b|GRLU.2|Gr28A3|Gr28A4|Gr28b.a|Gr28b.b|Gr28b.c|Gr28b.d|Gr28b.e|Gr28bA|Gr28bB|Gr28bC|Gr28bD|Gr28bE|Gr28be|GrLU2|LU.2|gr28b,Gustatory receptor 28b,protein-coding,CG13788,FBgn0045495,4.12794749,2.0454246189204635
148,299,Ty-N_peak_46,chr2L,5802155,5802155,+,98.16273000000001,,promoter-TSS (NM_001273178),promoter-TSS (NM_001273178),-65,NM_135116,33809,Dm.315,NM_135116,,CG7239,Dmel\CG7239|anon-EST:Posey250,CG7239,protein-coding,CG7239,FBgn0031740,8.53045225,3.092622229414207
150,301,Ty-N_peak_460,chr3L,1756325,1756325,+,96.41396,,promoter-TSS (NM_057950),promoter-TSS (NM_057950),19,NM_001274354,38224,Dm.11883,NM_139400,,CG8001,Dmel\CG8001,CG8001,protein-coding,CG8001,FBgn0035268,5.20081333,2.37873725698501
151,302,Ty-N_peak_891,chr3R,25302320,25302320,+,95.96399,,promoter-TSS (NM_170216),promoter-TSS (NM_170216),-144,NM_170216,43060,Dm.27408,NM_170216,,CG31370,CG13660|Dmel\CG31370,uncharacterized protein,protein-coding,CG31370,FBgn0051370,11.2220559,3.488265099267798
154,308,Ty-N_peak_205,chr2L,20310834,20310834,+,94.37345,,promoter-TSS (NM_001169549),promoter-TSS (NM_001169549),-385,NM_001299171,45931,Dm.3356,NM_080115,,spir,38C.34|38C.37|CG10076|CG18621|Dmel\CG10076|NP2788|Spir|Spire|l(2)08327|p150-Spir|p150Spir,spire,protein-coding,CG10076,FBgn0003475,210.883395,7.720301691287186
156,313,Ty-N_peak_761,chr3R,8219929,8219929,+,93.05861999999999,,promoter-TSS (NM_001170078),promoter-TSS (NM_001170078),-217,NM_001170078,40964,,NM_141514,,CG18249,CT41336|Dmel\CG18249,uncharacterized protein,protein-coding,CG18249,FBgn0037553,3.33093812,1.7359285528119153
157,315,Ty-N_peak_730,chr3R,5355145,5355145,+,93.05861999999999,,promoter-TSS (NM_001014606),promoter-TSS (NM_001014606),53,NM_001014606,40638,Dm.4886,NM_141271,,CG1161,Dmel\CG1161,CG1161,protein-coding,CG1161,FBgn0037313,6.00147939,2.5853181749773033
159,323,Ty-N_peak_953,chr3R,31812910,31812910,+,91.03653,,promoter-TSS (NM_001170314),promoter-TSS (NM_001170314),-165,NM_001170314,43758,Dm.12850,NM_143645,,RhoGAP100F,1976|CG1976|DSyd-1|DSyd1|Dmel\CG1976|RHOGAP100F|Syd-1|dsyd-1|syd-1,Rho GTPase activating protein at 100F,protein-coding,CG1976,FBgn0039883,5.01494633,2.32623426118498
160,325,Ty-N_peak_498,chr3L,6703812,6703812,+,90.21666,,promoter-TSS (NM_168178),promoter-TSS (NM_168178),-291,NM_168177,38744,Dm.3293,NM_139796,,SP1173,CG10121|Dmel\CG10121,SP1173,protein-coding,CG10121,FBgn0035710,89.8898255,6.49008592329235
161,326,Ty-N_peak_373,chr2R,20668175,20668175,+,90.02981,,promoter-TSS (NM_137664),promoter-TSS (NM_137664),-869,NM_137664,37344,Dm.13937,NM_137664,,Fem-1,CG9025|Dmel\CG9025|dFEM-1,Fem-1,protein-coding,CG9025,FBgn0034542,17.5608755,4.134292867324544
162,327,Ty-N_peak_1202,chrX,17768090,17768090,+,90.02981,,promoter-TSS (NM_133014),promoter-TSS (NM_133014),-479,NM_133014,32757,,NM_133014,,unc-4,CG6269|DPHD-1|Dmel\CG6269|Dunc-4|Unc4,unc-4,protein-coding,CG6269,FBgn0024184,6.66589897,2.7367994517739143
164,330,Ty-N_peak_463,chr3L,2466486,2466486,+,89.11829,,promoter-TSS (NM_001031933),promoter-TSS (NM_001031933),-375,NM_001031933,38306,Dm.6482,NM_139462,,CG45186,CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|Dmel\CG45186|Dmel_CG13800|Dmel_CG32306|Dmel_CG33231|Dmel_CG33232|Dmel_CG42669|c62E-11,uncharacterized protein,protein-coding,CG45186,FBgn0266696,3.38988337,1.7612356378403418
167,342,Ty-N_peak_119,chr2L,13203871,13203871,+,86.52499,,promoter-TSS (NM_135768),promoter-TSS (NM_135768),109,NM_165030,34716,Dm.416,NM_135769,,Pect,CG5547|Dmel\CG5547|PECT|pect,Phosphoethanolamine cytidylyltransferase,protein-coding,CG5547,FBgn0032482,42.62514229999999,5.41363274533295
168,345,Ty-N_peak_407,chr2R,23658367,23658367,+,86.03367,,promoter-TSS (NM_137970),promoter-TSS (NM_137970),800,NM_166616,37741,Dm.4039,NM_137970,,Pde8,CG42241|CG45019|CG5411|Dmel\CG45019|Dmel_CG42241|Dmel_CG5411|PDE8|pde8,Phosphodiesterase 8,protein-coding,CG42241,FBgn0266377,12.6129005,3.6568281751359653
169,346,Ty-N_peak_152,chr2L,16307577,16307577,+,86.03367,,promoter-TSS (NM_135945),promoter-TSS (NM_135945),231,NM_078858,34966,Dm.1927,NM_078858,,Syx5,BG:DS02740.12|CG4214|DmSyx5|Dmel\CG4214|II|SED5|SYN5|Sed5|Synx5|Syx|Syx5A|anon-35Fb|anon-35Fd|dSed5|dSed5p|dSyx5|dsed5|l(2)35Ff|sed5|syn5|syx5,Syntaxin 5,protein-coding,CG4214,FBgn0011708,5.52503157,2.465982708079149
171,350,Ty-N_peak_276,chr2R,9565466,9565466,+,85.04198000000001,,promoter-TSS (NR_124486),promoter-TSS (NR_124486),-276,NR_124485,19836134,,NR_124485,,CR45281,Dmel\CR45281|lincRNA.S2433,ncRNA,ncRNA,CR45281,FBgn0266819,10.092595300000001,3.33522530451364
173,355,Ty-N_peak_793,chr3R,12080671,12080671,+,84.05341,,promoter-TSS (NM_169450),promoter-TSS (NM_169450),-743,NM_169450,41469,,NM_169450,,ATP8B,CG14741|DmCG14741|Dmel\CG14741|dATP8B,ATPase 8B,protein-coding,CG14741,FBgn0037989,9.16449478,3.196055350107334
176,360,Ty-N_peak_396,chr2R,22194035,22194035,+,83.06818,,promoter-TSS (NM_166519),promoter-TSS (NM_166519),-880,NM_166519,37537,Dm.732,NM_137808,,Swim,CG3074|Dmel\CG3074|dmw|swim,Secreted Wg-interacting molecule,protein-coding,CG3074,FBgn0034709,4.3363724999999995,2.116488691382796
177,363,Ty-N_peak_964,chr4,466875,466875,+,82.83663,,promoter-TSS (NM_143666),promoter-TSS (NM_143666),-47,NM_143666,43793,Dm.6500,NM_143666,,bip2,BIP2|Bip2|CG2009|DmTAF3|Dmel\CG2009|TAF155|TAF3|TAFII155|TAF[[II]]155|TFIID|bip-II|dBIP2|dTAFII3|dTAF[[II]]155|dmTAF3|i163|i31,bip2,protein-coding,CG2009,FBgn0026262,13.3354386,3.737193370517787
178,364,Ty-N_peak_6,chr2L,271900,271900,+,82.83144,,promoter-TSS (NM_164377),promoter-TSS (NM_164377),-156,NM_164377,33190,Dm.4432,NM_134663,,CG3645,Dmel\CG3645,CG3645,protein-coding,CG3645,FBgn0031238,11.5442809,3.529106404481446
179,367,Ty-N_peak_19,chr2L,2311605,2311605,+,81.44461,,promoter-TSS (NM_001032399),promoter-TSS (NM_001032399),-75,NM_001032399,3771890,Dm.12205,NM_001032399,,eys,21A6|CG15388|CG15389|CG33955|CG7245|CT35437|Dmel\CG33955|EYS|Eyes Shut|Eys|MAb21A6|SPAM|Spam|mAb 21A6|mAb21A6|spacemaker|spam,eyes shut,protein-coding,CG15388,FBgn0031414,5.58898709,2.482586842523611
180,370,Ty-N_peak_380,chr2R,21076009,21076009,+,81.10682,,promoter-TSS (NM_166421),promoter-TSS (NM_166421),344,NM_001274186,45368,Dm.6686,NM_080082,,Treh,87D3T|CG9364|Dmel\CG9364|ESTS:87D3T|TRE|TREH|Tre|anon-EST:Posey159|anon-sts38,Trehalase,protein-coding,CG9364,FBgn0003748,2.48474092,1.313095432102693
181,376,Ty-N_peak_752,chr3R,7639659,7639659,+,80.13117,,promoter-TSS (NM_001043220),promoter-TSS (NM_001043220),-225,NM_001043220,40912,Dm.17109,NM_169190,,Nlg3,CG1062|CG14597|CG18291|CG32465|CG34127|DNLG3|DNlg3|Dmel\CG34127|dnlg3,Neuroligin 3,protein-coding,CG1062,FBgn0083963,1.88502441,0.9145832056997392
182,377,Ty-N_peak_541,chr3L,9704299,9704299,+,80.13117,,promoter-TSS (NM_168361),promoter-TSS (NM_168361),-32,NM_168361,39135,Dm.14974,NM_140090,,CG16711,Dmel\CG16711,uncharacterized protein,protein-coding,CG16711,FBgn0036032,7.85824488,2.9742071260120433
183,378,Ty-N_peak_844,chr3R,18053128,18053128,+,80.13117,,promoter-TSS (NM_079670),promoter-TSS (NM_079670),-144,NM_079670,42160,Dm.7690,NM_079670,,htl,CG7223|CT22273|CT39172|DFGF-R1|DFGF-R2|DFR-1|DFR1|DFR1/DFGF-R2|DPR3|DTRK(FR1)|Dfr-1|Dfr1|DmHD-38|Dmel\CG7223|Dtk1|EMS2|FGF-R2|FGFR|FGFR2|FR1|Fr1|HD-38|HTL/FGFR1|Htl|Tk1|dtk1|i100|i150|i79|j372,heartless,protein-coding,CG7223,FBgn0010389,8.86751552,3.1485299501796282
184,379,Ty-N_peak_422,chr2R,25190245,25190245,+,80.08122,,promoter-TSS (NM_001274251),promoter-TSS (NM_001274251),-121,NM_001274251,38011,Dm.14982,NM_166707,,CG9380,Dmel\CG9380,CG9380,protein-coding,CG9380,FBgn0035094,3.79884078,1.9255592459018165
185,381,Ty-N_peak_814,chr3R,15131960,15131960,+,79.01755,,promoter-TSS (NM_169609),promoter-TSS (NM_169609),-34,NM_169609,41817,,NM_169609,,CG42788,CG18442|CG31304|CG6934|CG6960|Dmel\CG42788|Dmel_CG31304|Dmel_CG6934|anon-WO0118547.79,uncharacterized protein,protein-coding,CG42788,FBgn0261859,215.337048,7.750452741364199
186,382,Ty-N_peak_335,chr2R,15815785,15815785,+,78.76394,,promoter-TSS (NM_001032249),promoter-TSS (NM_001032249),-868,NM_001274079,36740,Dm.22165,NM_137214,,Zasp52,CG12968|CG12969|CG30084|CG8242|Dmel\CG30084|Z(210)|ZASP52|Zasp|Zbp210|dzasp|tun|tungus|zasp|zasp52,Z band alternatively spliced PDZ-motif protein 52,protein-coding,CG12968,FBgn0265991,50.880263299999996,5.66903423132373
188,386,Ty-N_peak_252,chr2R,6885559,6885559,+,78.18909000000001,,promoter-TSS (NM_136402),promoter-TSS (NM_136402),7,NM_001259226,35602,Dm.6215,NM_136402,,Spn42De,CG9460|Dmel\CG9460,Serpin 42De,protein-coding,CG9460,FBgn0033115,7.01008509,2.809431956101232
189,387,Ty-N_peak_98,chr2L,10837709,10837709,+,78.18909000000001,,promoter-TSS (NM_001032069),promoter-TSS (NM_001032069),-198,NM_078817,34495,Dm.2707,NM_078817,,Nos,CG6713|DNOS|DNOS1|Dmel\CG6713|NOS|dNOS|dNos|drNOSoxy|nNOS|nos,Nitric oxide synthase,protein-coding,CG6713,FBgn0011676,303.06230899999997,8.243470629161965
191,392,Ty-N_peak_305,chr2R,12636846,12636846,+,76.81465,,promoter-TSS (NM_001032242),promoter-TSS (NM_001032242),175,NM_078995,36390,Dm.2581,NM_078995,,Iswi,ACF|CG8625|CHRAC|Dmel\CG8625|ISW|ISWI|NURF|NURF 140|NURF-140|Nurf-140|SWI|anon-EP1279744.124|dCHRAC|dISWI|dNURF|iswi|p140|p140/ISWI,Imitation SWI,protein-coding,CG8625,FBgn0011604,7.55621604,2.9176639504532504
192,393,Ty-N_peak_306,chr2R,12655956,12655956,+,76.39559,,promoter-TSS (NM_136963),promoter-TSS (NM_136963),2,NM_136963,36394,Dm.6132,NM_136963,,CG8646,Dmel\CG8646,CG8646,protein-coding,CG8646,FBgn0033763,19.447185600000005,4.281489478134096
193,396,Ty-N_peak_32,chr2L,4187879,4187879,+,75.82348,,promoter-TSS (NM_164571),promoter-TSS (NM_164571),-86,NM_164571,319048,Dm.4137,NM_164570,,TBCC,BcDNA:LD34582|CG31961|CG3381|Dmel\CG31961,Tubulin-binding cofactor C,protein-coding,CG31961,FBgn0051961,2.78793764,1.4791982916694215
194,398,Ty-N_peak_336,chr2R,15931937,15931937,+,75.29885,,promoter-TSS (NM_176181),promoter-TSS (NM_176181),-2,NM_137220,36747,Dm.10846,NM_137220,,bdg,CG8291|Dmel\CG8291,bedraggled,protein-coding,CG8291,FBgn0034049,56.0682529,5.809112210673831
196,403,Ty-N_peak_458,chr3L,1196212,1196212,+,74.55605,,promoter-TSS (NM_167857),promoter-TSS (NM_167857),-105,NM_167856,53472,Dm.4584,NM_167856,,Aplip1,APLIP1|CG1200|Dmel\CG1200|E(Khc)ek4|EK4|Ek4|JIP1|Jip1/2|SP512|aplilp1|aplip1|dp1|ek4|jip1,APP-like protein interacting protein 1,protein-coding,CG1200,FBgn0040281,1.2618513,0.3355419092171256
198,407,Ty-N_peak_893,chr3R,25518412,25518412,+,73.64761,,promoter-TSS (NM_170229),promoter-TSS (NM_170229),89,NM_170229,43087,Dm.1334,NM_079838,,msi,CG5099|DMSIDNA|Dmel\CG5099|MSI|Msi|SIDNA|anon-EST:Liang-2.35|clone 2.35|dMSI|dMsi,musashi,protein-coding,CG5099,FBgn0011666,94.419472,6.561012510204703
199,408,Ty-N_peak_586,chr3L,14559944,14559944,+,73.61879,,promoter-TSS (NM_001038923),promoter-TSS (NM_001038923),-56,NM_001038923,3885643,Dm.30277,NM_001038923,,CG34039,BP1005|Dmel\CG34039,uncharacterized protein,protein-coding,CG34039,FBgn0054039,5.7588893,2.5257905901576576
200,416,Ty-N_peak_836,chr3R,17003048,17003048,+,72.43841,,promoter-TSS (NM_142326),promoter-TSS (NM_142326),173,NM_001275724,42049,Dm.6463,NM_142327,,Irc,CG8913|Dmel\CG8913|IRC,Immune-regulated catalase,protein-coding,CG8913,FBgn0038465,406.111251,8.665731186347623
201,419,Ty-N_peak_1108,chrX,6780576,6780576,+,72.16908000000001,,promoter-TSS (NM_132121),promoter-TSS (NM_132121),-917,NM_001298035,31617,Dm.58,NM_132121,,shf,CG3134|CG3135|CT10514|D-Wif|DmWIF|DmWif|Dmel\CG3135|Shf|shf-ov,shifted,protein-coding,CG3134,FBgn0003390,1.36393879,0.4477789014405863
202,420,Ty-N_peak_417,chr2R,24942836,24942836,+,72.08313000000001,,promoter-TSS (NM_001038885),promoter-TSS (NM_001038885),-423,NM_138139,37989,Dm.4023,NM_138139,,Tina-1,BEST:GM14784|CG2803|Dmel\CG2803,Troponin C-akin-1,protein-coding,CG2803,FBgn0035083,24.480173,4.613541848398326
203,425,Ty-N_peak_88,chr2L,9963955,9963955,+,70.83009,,promoter-TSS (NM_001042885),promoter-TSS (NM_001042885),-6,NM_001042885,34327,Dm.378,NM_135490,,CG5850,Dmel\CG5850,CG5850,protein-coding,CG5850,FBgn0032172,7.66923416,2.939082519223135
205,429,Ty-N_peak_254,chr2R,7025087,7025087,+,69.90326999999999,,promoter-TSS (NM_078908),promoter-TSS (NM_078908),77,NM_078908,35615,Dm.5704,NM_078908,,Tsp42Ef,CG12845|Dm.Tsp42Ef|Dmel\CG12845,Tetraspanin 42Ef,protein-coding,CG12845,FBgn0033127,54.30763470000001,5.7630831247690555
206,430,Ty-N_peak_906,chr3R,26261587,26261587,+,69.63013000000001,,promoter-TSS (NM_206577),promoter-TSS (NM_206577),4,NM_001276056,43183,Dm.2349,NM_079791,,Ald,ALD|BcDNA:LP07735|CG6058|Dmel\CG6058|FBA|T12|T4|T6|T7|ald|dALDOA,Aldolase,protein-coding,CG6058,FBgn0000064,24.6139245,4.6214027975958425
211,437,Ty-N_peak_535,chr3L,9349473,9349473,+,69.14352,,promoter-TSS (NM_140042),promoter-TSS (NM_140042),-136,NM_140042,39064,Dm.20049,NM_140042,,PGRP-LF,CG4437|Dmel\CG4437|PGRP-like|PGRPLF|anon-WO0118547.581|pgrp-lf,Peptidoglycan recognition protein LF,protein-coding,CG4437,FBgn0035977,156.747539,7.2922989820819915
212,443,Ty-N_peak_277,chr2R,9684587,9684587,+,68.25248,,promoter-TSS (NM_206066),promoter-TSS (NM_206066),-729,NM_206066,35997,Dm.11246,NM_136667,,Mmp2,2-MMP|CG1794|Dm2-MMP|Dmel\CG1794|MMP2|anon-WO0118547.84|dm-2MMP|dmmp2|l(2)02353|mmp2,Matrix metalloproteinase 2,protein-coding,CG1794,FBgn0033438,91.53459000000001,6.516245121250049
